282-,-,-,-,-,-
-0.320757,-0.002098,0.047274,-0.019207,0.003609,-0.072473
-0.336238,-0.000593,0.052144,-0.019390,0.002922,-0.071042
-0.348669,0.000858,0.056157,-0.018869,0.002329,-0.067558
-0.363559,0.002285,0.057751,-0.018210,0.001836,-0.063174
-0.382978,0.005316,0.056930,-0.017909,0.001482,-0.058597
-0.405945,0.011389,0.055435,-0.017919,0.001358,-0.054186
-0.430015,0.019969,0.055328,-0.017596,0.001542,-0.050043
-0.453261,0.028709,0.057752,-0.016194,0.002078,-0.045997
-0.475724,0.034806,0.062194,-0.013399,0.003017,-0.041548
-0.498222,0.036887,0.066620,-0.009539,0.004432,-0.036077
-0.519828,0.035883,0.068827,-0.005375,0.006369,-0.029267
-0.538029,0.033712,0.067804,-0.001570,0.008648,-0.021347
-0.550858,0.031372,0.063648,0.001592,0.010752,-0.012953
-0.557609,0.028873,0.057061,0.003980,0.012017,-0.004823
-0.558211,0.026358,0.049248,0.005414,0.011843,0.002442
-0.553075,0.024324,0.041797,0.005795,0.009861,0.008548
-0.543122,0.022911,0.036440,0.005285,0.005975,0.013671
-0.529301,0.021760,0.034642,0.004301,0.000465,0.018375
-0.512000,0.020452,0.036939,0.003412,-0.005839,0.023163
-0.490975,0.018609,0.042481,0.003147,-0.011776,0.028171
-0.466377,0.015953,0.049427,0.003771,-0.016350,0.033235
-0.439578,0.012649,0.055898,0.005213,-0.019019,0.038067
-0.412741,0.009095,0.060661,0.007183,-0.019758,0.042427
-0.388096,0.005215,0.063181,0.009310,-0.018971,0.046237
-0.367075,0.000548,0.063548,0.011182,-0.017281,0.049613
-0.349551,-0.005008,0.062451,0.012387,-0.015283,0.052776
-0.334187,-0.010790,0.060930,0.012678,-0.013426,0.055882
-0.319465,-0.015536,0.060079,0.012138,-0.011983,0.058896
-0.304499,-0.018158,0.060629,0.011210,-0.011029,0.061643
-0.289252,-0.018645,0.062298,0.010494,-0.010489,0.063964
-0.273911,-0.017942,0.063906,0.010376,-0.010253,0.065793
-0.257884,-0.016839,0.064428,0.010861,-0.010266,0.067088
-0.239928,-0.015288,0.063661,0.011756,-0.010501,0.067776
-0.219536,-0.012859,0.062017,0.012866,-0.010848,0.067774
-0.197499,-0.009502,0.059967,0.014025,-0.011075,0.067066
-0.175286,-0.005651,0.057751,0.015032,-0.010917,0.065751
-0.154356,-0.001823,0.055446,0.015635,-0.010191,0.064018
-0.135789,0.001707,0.053033,0.015616,-0.008851,0.062065
-0.120259,0.004979,0.050409,0.014888,-0.006969,0.060022
-0.107967,0.008118,0.047583,0.013523,-0.004706,0.057913
-0.098600,0.011102,0.044844,0.011697,-0.002297,0.055672
-0.091524,0.013804,0.042610,0.009634,-0.000051,0.053172
-0.086013,0.016127,0.041239,0.007564,0.001688,0.050256
-0.081389,0.018172,0.040926,0.005710,0.002632,0.046788
-0.077148,0.020363,0.041608,0.004281,0.002649,0.042700
-0.072941,0.023203,0.042949,0.003439,0.001821,0.038041
-0.068376,0.026865,0.044425,0.003285,0.000447,0.032936
-0.063031,0.031086,0.045514,0.003833,-0.001024,0.027541
-0.056848,0.035366,0.045861,0.004941,-0.002089,0.022129
-0.050277,0.039178,0.045278,0.006325,-0.002291,0.017031
-0.044018,0.042065,0.043709,0.007627,-0.001357,0.012471
-0.038770,0.043742,0.041246,0.008487,0.000729,0.008480
-0.035118,0.044232,0.038069,0.008621,0.003713,0.004918
-0.033457,0.043835,0.034364,0.007891,0.007111,0.001539
-0.033908,0.042936,0.030415,0.006346,0.010340,-0.001954
-0.036339,0.041837,0.026661,0.004194,0.012878,-0.005858
-0.040662,0.040707,0.023508,0.001724,0.014402,-0.010403
-0.047115,0.039615,0.021136,-0.000758,0.014810,-0.015681
-0.056102,0.038487,0.019486,-0.002995,0.014155,-0.021632
-0.067748,0.037067,0.018482,-0.004844,0.012559,-0.028047
-0.081529,0.035155,0.018275,-0.006281,0.010204,-0.034601
-0.096329,0.032914,0.019180,-0.007355,0.007361,-0.040951
-0.110875,0.030760,0.021300,-0.008134,0.004399,-0.046820
-0.124234,0.028835,0.024294,-0.008660,0.001783,-0.051986
-0.136349,0.026724,0.027545,-0.008970,-0.000048,-0.056337
-0.148006,0.023885,0.030444,-0.009159,-0.000875,-0.059906
-0.160148,0.020256,0.032609,-0.009382,-0.000764,-0.062801
-0.173299,0.016431,0.034010,-0.009774,0.000053,-0.065104
-0.187468,0.013337,0.034906,-0.010366,0.001351,-0.066818
-0.202396,0.011480,0.035579,-0.011081,0.003017,-0.067900
-0.217785,0.010489,0.036113,-0.011811,0.005012,-0.068348
-0.233569,0.009570,0.036429,-0.012502,0.007227,-0.068269
-0.250102,0.008259,0.036475,-0.013210,0.009370,-0.067888
-0.267869,0.006674,0.036417,-0.014039,0.011024,-0.067422
-0.286961,0.005343,0.036734,-0.015068,0.011795,-0.066947
-0.306802,0.005001,0.038367,-0.016232,0.011512,-0.066363
-0.326280,0.005867,0.042156,-0.017228,0.010372,-0.065442
-0.344598,0.006591,0.047214,-0.017685,0.008885,-0.063964
-0.362270,0.005639,0.051234,-0.017616,0.007677,-0.061801
-0.380789,0.003892,0.052898,-0.017545,0.007285,-0.058919
-0.401269,0.004114,0.052675,-0.017897,0.007935,-0.055401
-0.424054,0.008416,0.051985,-0.018405,0.009399,-0.051422
-0.449226,0.016461,0.052023,-0.018266,0.011124,-0.047168
-0.476996,0.025182,0.052949,-0.016690,0.012487,-0.042725
-0.507341,0.030950,0.054083,-0.013451,0.013022,-0.037943
-0.538717,0.032553,0.054295,-0.009131,0.012528,-0.032482
-0.567242,0.031639,0.052539,-0.004648,0.010964,-0.026212
-0.588141,0.030511,0.048580,-0.000589,0.008257,-0.019427
-0.598304,0.030164,0.043113,0.002833,0.004355,-0.012628
-0.597136,0.030261,0.037406,0.005441,-0.000583,-0.006236
-0.585895,0.030202,0.032739,0.007010,-0.006099,-0.000405
-0.566924,0.029526,0.030168,0.007436,-0.011490,0.005115
-0.543370,0.027699,0.030667,0.006852,-0.015968,0.010849
-0.518555,0.024192,0.034655,0.005599,-0.018862,0.017180
-0.494567,0.018825,0.041486,0.004106,-0.019825,0.024145
-0.471830,0.012256,0.049849,0.002788,-0.018958,0.031525
